grupo_de_idade,total,homens,mulheres,urbana_total,urbana_homens,urbana_mulheres,rural_total,rural_homens,rural_mulheres
Total,169799170,83576015,86223155,137953959,66882993,71070966,31845211,16693022,15152189
00 a 04 anos,16375728,8326926,8048802,12760820,6490364,6270456,3614908,1836562,1778346
05 a 09 anos,16542327,8402353,8139974,12821519,6500814,6320705,3720808,1901539,1819269
10 a 14 anos,17348067,8777639,8570428,13530190,6803898,6726292,3817877,1973741,1844136
15 a 19 anos,17939815,9019130,8920685,14403539,7132822,7270717,3536276,1886308,1649968
20 a 24 anos,16141515,8048218,8093297,13352132,6549365,6802767,2789383,1498853,1290530
25 a 29 anos,13849665,6814328,7035337,11570969,5606425,5964544,2278696,1207903,1070793
30 a 34 anos,13028944,6363983,6664961,10918396,5248443,5669953,2110548,1115540,995008
35 a 39 anos,12261529,5955875,6305654,10326271,4929130,5397141,1935258,1026745,908513
40 a 44 anos,10546694,5116439,5430255,8913019,4249804,4663215,1633675,866635,767040
45 a 49 anos,8721541,4216418,4505123,7309621,3472375,3837246,1411920,744043,667877
50 a 54 anos,7062601,3415678,3646923,5833659,2764708,3068951,1228942,650970,577972
55 a 59 anos,5444715,2585244,2859471,4387995,2032135,2355860,1056720,553109,503611
60 a 64 anos,4600929,2153209,2447720,3712213,1676323,2035890,888716,476886,411830
65 a 69 anos,3581106,1639325,1941781,2916899,1284812,1632087,664207,354513,309694
70 a 74 anos,2742302,1229329,1512973,2249617,966115,1283502,492685,263214,229471
75 a 79 anos,1779587,780571,999016,1456665,610767,845898,322922,169804,153118
80 a 84 anos,1036034,428501,607533,841798,331002,510796,194236,97499,96737
85 a 89 anos,534871,208088,326783,436121,160379,275742,98750,47709,51041
90 a 94 anos,180426,65117,115309,147784,50531,97253,32642,14586,18056
95 a 99 anos,56198,19221,36977,45682,14899,30783,10516,4322,6194
100 anos ou mais,24576,10423,14153,19050,7882,11168,5526,2541,2985
