grupo_de_idade,total_2020,total_2030,total_2040,total_2050,total_2060,homens_2020,homens_2030,homens_2040,homens_2050,homens_2060,mulheres_2020,mulheres_2030,mulheres_2040,mulheres_2050,mulheres_2060
Total,211755692,224868462,231919922,232933276,228286347,103527689,109728762,112962751,113300060,110958642,108228003,115139700,118957171,119633216,117327705
00 a 04 anos,14730311,13629815,12413588,11620256,10774218,7536789,6975778,6354123,5948471,5515605,7193522,6654037,6059465,5671785,5258613
05 a 09 anos,14650311,14304778,12951361,11966376,11223031,7491634,7318878,6627900,6124537,5744493,7158677,6985900,6323461,5841839,5478538
10 a 14 anos,14805478,14690423,13599376,12389855,11600532,7563501,7513141,6957623,6339911,5936671,7241977,7177282,6641753,6049944,5663861
15 a 19 anos,15790863,14596110,14260078,12916108,11937109,8042202,7453221,7287028,6602699,6103630,7748661,7142889,6973050,6313409,5833479
20 a 24 anos,17233266,14688175,14594614,13521425,12325847,8712945,7470597,7437195,6895815,6289218,8520321,7217578,7157419,6625610,6036629
25 a 29 anos,16985866,15607291,14455193,14139942,12817887,8484394,7893232,7338836,7189512,6523112,8501472,7714059,7116357,6950430,6294775
30 a 34 anos,17205416,17007393,14523256,14455019,13404578,8532944,8534665,7340229,7326843,6803583,8672472,8472728,7183027,7128176,6600995
35 a 39 anos,17026545,16738294,15410325,14298311,14001307,8347421,8300209,7746136,7221685,7086207,8679124,8438085,7664189,7076626,6915100
40 a 44 anos,15602974,16893256,16739962,14320041,14273861,7574836,8314471,8346626,7197348,7199896,8028138,8578785,8393336,7122693,7073965
45 a 49 anos,13652504,16602926,16375387,15107158,14041783,6576419,8066468,8059034,7543900,7050917,7076085,8536458,8316353,7563258,6990866
50 a 54 anos,12617804,15043388,16359306,16255195,13930535,6041008,7217244,7972437,8034455,6946162,6576796,7826144,8386869,8220740,6984373
55 a 59 anos,11257277,12943766,15836527,15677945,14494713,5306101,6132308,7585774,7619074,7154556,5951176,6811458,8250753,8058871,7340157
60 a 64 anos,9383728,11673982,14032901,15332980,15279016,4350563,5458969,6593867,7333300,7420473,5033165,6215013,7439034,7999680,7858543
65 a 69 anos,7349244,10048512,11676652,14377822,14288480,3337000,4584216,5371091,6701600,6767303,4012244,5464296,6305561,7676222,7521177
70 a 74 anos,5408663,7907040,9980630,12109555,13295484,2398778,3501868,4474742,5468808,6124121,3009885,4405172,5505888,6640747,7171363
75 a 79 anos,3614389,5641260,7888458,9280868,11511971,1542105,2396166,3381052,4021823,5066803,2072284,3245094,4507406,5259045,6445168
80 a 84 anos,2366558,3586931,5433588,6978835,8567809,952619,1446541,2197885,2864310,3549148,1413939,2140390,3235703,4114525,5018661
85 a 89 anos,1259330,1913020,3158814,4547659,5434778,471252,718616,1182750,1717634,2076107,788078,1194404,1976064,2830025,3358671
90 anos ou mais,815165,1352102,2229906,3637926,5083408,265178,432174,708423,1148335,1600637,549987,919928,1521483,2489591,3482771
